"Date","MONTH","CHIRP_KIR","CHIRP_MUY","OBS_KIR","OBS_MUY","ERA5_KIR","ERA5_MUY"
1993-10-01,10,"63.30000000000001","54.248000000000005","63.1999999824","76.3","73.0","38.0"
1993-11-01,11,"115.156","120.76699999999998","0.0","168.0","217.0","0.0"
1993-12-01,12,"90.49600000000002","109.09099999999998","37.2999999956","133.6","159.0","56.0"
1994-01-01,1,"92.699","110.883","78.3999999449","103.70000000000002","101.0","86.0"
1994-02-01,2,"86.05599999999998","107.82600000000001","97.59999997289998","83.0","87.0","149.0"
1994-03-01,3,"162.08899999999997","155.62399999999997","122.39999997750003","160.79999999999998","147.0","223.0"
1994-04-01,4,"155.288","152.95799999999997","112.3999999579","103.7","153.0","203.0"
1994-05-01,5,"117.17300000000002","97.91499999999999","121.69999995930002","85.80000000000001","101.0","126.0"
1994-06-01,6,"7.968","2.985","0.5","0.0","8.0","4.0"
1994-07-01,7,"4.2620000000000005","2.5299999999999994","4.8999999997","0.0","1.0","1.0"
1994-08-01,8,"17.451999999999998","12.971","27.7999999854","8.899999999999999","11.0","11.0"
1994-09-01,9,"38.998000000000005","32.855","18.299999988499998","1.6","41.0","53.0"
1994-10-01,10,"105.63800000000003","106.257","120.49999996800001","107.80000000000001","150.0","210.0"
1994-11-01,11,"166.805","151.402","187.39999988019997","218.9","236.0","270.0"
1994-12-01,12,"120.78699999999996","134.602","99.9999999729","132.09999999999997","128.0","225.0"
1995-01-01,1,"77.46199999999999","97.13400000000001","54.1999999754","80.60000000000001","79.0","150.0"
1995-02-01,2,"95.15500000000002","116.208","105.09999994649999","151.90000000000003","92.0","124.0"
1995-03-01,3,"108.79200000000002","109.345","75.1999999738","67.39999999999999","118.0","172.0"
1995-04-01,4,"178.172","186.754","228.8999998839","163.1","195.0","237.0"
1995-05-01,5,"100.07600000000001","97.59700000000001","110.99999996849998","108.19999999999999","104.0","113.0"
1995-06-01,6,"36.508","19.668","71.6999999583","37.2","23.0","18.0"
1995-07-01,7,"0.564","0.13999999999999999","0.0","0.0","0.0","0.0"
1995-08-01,8,"7.598000000000001","3.012","0.8999999998999999","0.0","0.0","0.0"
1995-09-01,9,"43.227000000000004","37.926","61.39999995679999","52.199999999999996","43.0","34.0"
1995-10-01,10,"133.888","118.956","238.4999998652","74.79999999999998","130.0","157.0"
1995-11-01,11,"122.53999999999999","109.65499999999999","95.99999994609999","141.1","155.0","197.0"
1995-12-01,12,"79.24499999999999","87.389","108.39999999279999","113.30000000000001","61.0","107.0"
1996-01-01,1,"73.578","95.996","73.4999999538","85.39999999999999","94.0","129.0"
1996-02-01,2,"102.149","119.00900000000001","104.49999997910002","131.09999999999997","119.0","180.0"
1996-03-01,3,"145.23000000000002","151.21400000000003","121.1999998654","168.4","139.0","194.0"
1996-04-01,4,"129.81099999999998","135.99499999999998","223.4999997088","89.2","127.0","160.0"
1996-05-01,5,"52.387","51.844","48.3999999547","21.799999999999997","68.0","68.0"
1996-06-01,6,"8.947000000000001","4.38","4.9999999998","0.0","0.0","0.0"
1996-07-01,7,"10.464999999999998","4.324","5.2000000002","2.3000000000000003","1.0","0.0"
1996-08-01,8,"40.483000000000004","23.820999999999998","54.199999988100004","35.0","35.0","32.0"
1996-09-01,9,"71.18200000000002","77.73899999999998","102.59999987970001","88.90000000000002","82.0","77.0"
1996-10-01,10,"81.45500000000001","82.53","76.6999999704","111.19999999999997","135.0","135.0"
1996-11-01,11,"121.812","122.645","96.59999991060002","103.00000000000001","120.0","192.0"
